Temp,Humd,Label
24.0,35.0,1
24.0,34.0,1
24.0,33.0,1
24.0,33.0,1
24.0,33.0,1
24.0,33.0,1
24.0,32.0,1
24.0,32.0,1
24.0,44.0,1
24.0,45.0,1
24.0,52.0,1
28.0,73.0,1
30.0,62.0,1
30.0,54.0,1
30.0,46.0,1
30.0,42.0,1
30.0,36.0,1
29.0,36.0,1
29.0,35.0,1
29.0,35.0,1
29.0,33.0,1
29.0,33.0,1
29.0,33.0,1
29.0,32.0,1
29.0,32.0,1
29.0,31.0,1
28.0,29.0,1
28.0,29.0,1
28.0,35.0,1
28.0,42.0,1
29.0,53.0,1
29.0,52.0,1
28.0,49.0,1
28.0,35.0,1
28.0,35.0,1
28.0,33.0,1
28.0,33.0,1
28.0,33.0,1
27.0,33.0,1
27.0,33.0,1
27.0,33.0,1
27.0,32.0,1
27.0,32.0,1
27.0,32.0,1
27.0,31.0,1
27.0,30.0,1
27.0,30.0,1
27.0,29.0,1
26.0,29.0,1
26.0,28.0,1
26.0,28.0,1
26.0,28.0,1
26.0,69.0,1
27.0,77.0,1
27.0,70.0,1
27.0,69.0,1
26.0,50.0,1
25.0,43.0,1
25.0,42.0,1
25.0,42.0,1
25.0,41.0,1
25.0,39.0,1
25.0,37.0,1
25.0,36.0,1
25.0,36.0,1
25.0,36.0,1
25.0,36.0,1
25.0,34.0,1
27.0,81.0,1
26.0,81.0,1
26.0,80.0,1
25.0,78.0,1
25.0,78.0,1
25.0,78.0,1
25.0,77.0,1
25.0,69.0,1
25.0,69.0,1
25.0,66.0,1
25.0,65.0,1
24.0,58.0,1
24.0,56.0,1
24.0,49.0,1
24.0,49.0,1
24.0,48.0,1
24.0,47.0,1
